problem,tp,tf,jut,nest,mdepth,igd_nsga2_mean,igd_ip2_mean,hv_nsga2_mean,hv_ip2_mean
makeMMF10Function,20,1,1.5,100,5,0.19483698093574803,0.17268366148063666,12342.92025723271,12342.205764009439
makeMMF11Function,8,8,1.1,100,10,0.10338877329124352,0.09772221379704794,12343.12323832123,12343.122814628383
makeMMF12Function,2,8,1.5,100,None,0.08422960211444387,0.07190900742063243,12342.930597949018,12342.930337438685
makeMMF13Function,50,8,0.8,10,5,0.16066446472330442,0.14021657188181577,12343.092900026886,12343.093872279775
makeMMF14Function,10,1,1.5,200,10,0.13396522346277365,0.12819901293604322,1371330.3240358247,1371329.9496003638
makeMMF14aFunction,2,10,0.8,10,30,0.14152905368205346,0.13721051045473953,1371330.126773563,1371330.2991242674
makeMMF15Function,2,20,1.5,200,None,0.23989900701562952,0.2347320714798873,1371329.8399744092,1371329.5899608114
makeMMF15aFunction,50,20,2,10,5,0.2323394604381759,0.22851496215965764,1371330.4177771008,1371330.287443016
makeMMF1Function,10,1,0.8,100,None,0.024558925628665136,0.010349347874826439,12343.188960808615,12343.18140872124
makeMMF1eFunction,20,1,1.5,200,10,0.012401940722068515,0.006761064208815086,12343.20465491463,12343.206945022266
makeMMF1zFunction,10,1,2,100,5,0.0061784454511015175,0.008266457877159242,12343.19550623307,12343.15046562218
makeMMF2Function,50,1,1.1,10,5,0.0921780570111992,0.037171601512521184,12342.472216541628,12343.11470976097
makeMMF3Function,20,1,1.1,10,10,0.09184219967138389,0.04272773086446115,12342.480600148281,12343.107756786136
makeMMF4Function,50,1,2,200,10,0.005697376420558772,0.005578000465810033,12343.119448204807,12343.107143464871
makeMMF5Function,8,1,0.8,200,10,0.00624789755900873,0.006025442991649212,12343.143538198608,12343.132951831618
makeMMF6Function,10,1,1.5,10,10,0.02677089917452231,0.02405899183942826,12343.169461138352,12343.180176080281
makeMMF7Function,5,1,2,None,5,0.00566377215421118,0.005679381689282205,12343.172684932213,12343.161115705501
makeMMF8Function,5,10,0.8,50,5,0.005726127476590832,0.005472535424706737,12343.19190978567,12343.193055724145
makeMMF9Function,20,1,2,200,10,0.02081649588417377,0.020929670067228713,12343.121338970612,12343.125196285959
makeOmniTestFunction,20,1,1.5,100,10,1.000886392937208,1.0009716408462392,12343.13181976307,12343.148164039945
makeSYMPARTrotatedFunction,10,10,0.8,50,30,0.025864620113071814,0.023699533721999563,12343.20981276969,12343.20985084852
makeSYMPARTsimpleFunction,20,5,0.8,None,5,0.022377314233366554,0.02014826549058325,12343.209900821568,12343.20988921125
